complaint_year,month_number,date_reported,arrest_date,borough,county,offense_category,offense_description,police_description,bias_motive,offense_category,
2019,2,02/08/2019,02/08/2019,BROOKLYN,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,3,03/09/2019,03/09/2019,BROOKLYN,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,BKLYN NORTH
2019,3,03/10/2019,03/09/2019,BROOKLYN,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,BKLYN NORTH
2019,3,03/08/2019,03/09/2019,BROOKLYN,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,BKLYN NORTH
2019,5,05/11/2019,05/10/2019,BROOKLYN,BRONX,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,6,06/01/2019,06/14/2019,BROOKLYN,BRONX,FELONY,RAPE,RAPE 1,ANTI-WHITE,Race/Color,BKLYN NORTH
2019,7,07/09/2019,07/21/2019,BROOKLYN,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,BKLYN NORTH
2019,8,08/05/2019,08/05/2019,BROOKLYN,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,BKLYN NORTH
2019,10,10/22/2019,10/22/2019,BROOKLYN,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,12,12/27/2019,12/28/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,1,01/06/2019,01/06/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,BKLYN NORTH
2019,1,01/14/2019,01/14/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,BKLYN NORTH
2019,1,01/15/2019,01/16/2019,BROOKLYN,KINGS,FELONY,MURDER & NON-NEGL. MANSLAUGHTE,"MURDER,UNCLASSIFIED",ANTI-ASIAN,Race/Color,BKLYN NORTH
2019,1,01/30/2019,01/30/2019,BROOKLYN,KINGS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,2,02/08/2019,02/08/2019,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,2,02/04/2019,02/27/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,3,03/11/2019,03/11/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,BKLYN NORTH
2019,3,03/29/2019,03/29/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,3,03/22/2019,04/02/2019,BROOKLYN,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,BKLYN NORTH
2019,3,04/01/2019,04/06/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,4,04/05/2019,04/06/2019,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,1,01/07/2019,04/06/2019,BROOKLYN,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,4,04/06/2019,04/05/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,3,03/17/2019,04/07/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,4,04/08/2019,04/08/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,BKLYN NORTH
2019,5,05/08/2019,05/15/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,5,05/17/2019,05/17/2019,BROOKLYN,KINGS,FELONY,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,ANTI-TRANSGENDER,Gender,BKLYN NORTH
2019,5,05/22/2019,06/06/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,6,06/10/2019,06/11/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,6,06/13/2019,06/14/2019,BROOKLYN,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,6,06/17/2019,06/19/2019,BROOKLYN,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-ARAB,Ethnicity/National Origin/Ancestry,BKLYN NORTH
2019,6,06/19/2019,06/19/2019,BROOKLYN,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-ARAB,Ethnicity/National Origin/Ancestry,BKLYN NORTH
2019,6,06/22/2019,06/22/2019,BROOKLYN,KINGS,FELONY,ROBBERY,"ROBBERY,CAR JACKING",ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,5,05/19/2019,06/25/2019,BROOKLYN,KINGS,FELONY,ROBBERY,"ROBBERY,DWELLING",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,7,07/13/2019,07/13/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,6,06/22/2019,07/24/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,BKLYN NORTH
2019,7,07/26/2019,07/26/2019,BROOKLYN,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-BLACK,Race/Color,BKLYN NORTH
2019,7,07/27/2019,07/26/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-BLACK,Race/Color,BKLYN NORTH
2019,7,07/28/2019,07/28/2019,BROOKLYN,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,8,08/09/2019,08/09/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,8,08/04/2019,08/21/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,8,08/23/2019,08/29/2019,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,8,08/27/2019,09/12/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,9,09/15/2019,09/15/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,9,09/22/2019,09/22/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ARAB,Ethnicity/National Origin/Ancestry,BKLYN NORTH
2019,10,10/21/2019,10/21/2019,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,10,10/30/2019,10/30/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,11,11/03/2019,11/03/2019,BROOKLYN,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,BKLYN NORTH
2019,11,11/06/2019,11/05/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,11,11/10/2019,11/13/2019,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,11,11/11/2019,11/13/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,11,11/24/2019,11/23/2019,BROOKLYN,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,UNCL",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,12,12/12/2019,12/13/2019,BROOKLYN,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,12,12/26/2019,12/26/2019,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,12,12/27/2019,12/27/2019,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,1,01/03/2019,01/29/2019,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,2,02/09/2019,02/09/2019,BROOKLYN,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,BKLYN NORTH
2019,2,02/11/2019,02/11/2019,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,3,03/02/2019,03/02/2019,BROOKLYN,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,BKLYN NORTH
2019,3,03/17/2019,03/17/2019,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,3,03/16/2019,03/17/2019,BROOKLYN,NEW YORK,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,4,04/06/2019,04/06/2019,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,3,03/31/2019,05/10/2019,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
