year,month,date_reported,arrest_date,borough,offense_category,offense_description,bias_motive,offense_category
2023,February,02/20/2023,02/21/2023,QUEENS,FELONY,ARSON,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,May,05/31/2022,,QUEENS,FELONY,ARSON,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/06/2019,01/06/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,January,01/03/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,January,01/18/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/01/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/21/2020,01/21/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/24/2020,01/30/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-LGBT (MIXED GROUP),Sexual Orientation
2020,January,01/24/2020,02/19/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-LGBT (MIXED GROUP),Sexual Orientation
2021,January,01/02/2021,01/05/2021,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-FEMALE,Gender
2021,January,01/03/2021,01/05/2021,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-FEMALE,Gender
2021,January,01/21/2021,02/09/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,January,01/31/2022,01/31/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2022,January,01/22/2022,02/01/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/21/2022,04/14/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2022,January,01/18/2022,01/18/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-BLACK,Race/Color
2022,January,01/21/2022,04/01/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,January,01/21/2022,04/12/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,January,01/01/2022,04/18/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,January,01/14/2022,01/13/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-SIKH,Religion/Religious Practice
2022,January,01/13/2022,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,January,01/10/2022,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2023,January,01/08/2023,01/08/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/15/2023,01/14/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2023,January,01/22/2023,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-BLACK,Race/Color
2019,February,02/11/2019,02/11/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2019,February,02/02/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,February,02/06/2020,02/06/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,February,02/04/2020,02/10/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2020,February,02/12/2020,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/26/2020,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,February,02/03/2021,02/10/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,February,02/07/2021,02/07/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2021,February,02/16/2021,02/18/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,February,03/11/2021,09/23/2021,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,February,02/19/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/15/2022,02/15/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2022,February,02/07/2022,02/07/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/05/2022,02/10/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/12/2022,02/17/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/18/2022,02/18/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,February,02/07/2022,02/07/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/19/2022,02/19/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/27/2022,03/02/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/28/2022,03/02/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/09/2022,03/31/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,03/01/2022,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,February,02/07/2022,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,February,02/24/2023,03/03/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2023,February,02/09/2023,02/09/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2023,February,02/08/2023,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2019,March,03/09/2019,03/09/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/10/2019,03/09/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/08/2019,03/09/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/29/2019,03/29/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,March,03/17/2019,04/07/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2019,March,03/31/2019,05/10/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,March,03/08/2019,07/02/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/31/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,March,03/19/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2019,March,03/08/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2020,March,03/25/2020,05/12/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/10/2020,03/13/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/16/2020,03/16/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/29/2020,03/29/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/10/2020,04/08/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/24/2020,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2020,March,03/02/2020,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2021,March,03/23/2021,03/23/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/05/2021,04/07/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/23/2021,04/07/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/21/2021,03/22/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/26/2021,03/27/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/28/2021,10/29/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/29/2021,01/26/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/26/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/23/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
